cores_normalized,threads_normalized,frequency_normalized,boost_frequency_normalized,cache_normalized,lithography_normalized,tdp_normalized
0.344,0.161,0.764,0.911,0.461,0.192,0.251
0.718,0.444,0.318,0.62,0.593,0.848,0.495
0.608,0.171,0.428,0.188,0.106,0.542,0.731
0.704,0.563,0.081,0.117,0.601,0.559,0.133
0.73,0.515,0.229,0.222,0.971,0.252,0.798
0.985,0.367,0.314,0.595,0.029,0.618,0.432
0.785,0.292,0.511,0.521,0.612,0.163,0.351
0.482,0.555,0.745,0.172,0.62,0.962,0.891
0.823,0.073,0.143,0.697,0.965,0.898,0.647
0.754,0.908,0.353,0.551,0.185,0.131,0.228
0.31,0.728,0.876,0.635,0.043,0.245,0.552
0.613,0.533,0.197,0.269,0.894,0.365,0.014
0.536,0.65,0.222,0.753,0.12,0.285,0.583
0.137,0.543,0.671,0.89,0.741,0.297,0.358
0.131,0.484,0.16,0.794,0.617,0.005,0.572
0.416,0.244,0.665,0.896,0.209,0.224,0.438
0.606,0.32,0.523,0.894,0.458,0.49,0.827
0.968,0.972,0.259,0.788,0.287,0.573,0.525
0.019,0.985,0.814,0.147,0.114,0.442,0.912
0.754,0.349,0.098,0.315,0.764,0.124,0.41
0.544,0.567,0.224,0.124,0.034,0.835,0.205
0.267,0.516,0.761,0.975,0.099,0.085,0.296
0.6,0.255,0.789,0.752,0.236,0.959,0.74
0.648,0.783,0.717,0.052,0.377,0.214,0.799
0.746,0.245,0.833,0.14,0.811,0.556,0.343
0.899,0.428,0.197,0.293,0.922,0.084,0.91
0.978,0.901,0.757,0.929,0,0.68,0.48
0.75,0.619,0.513,0.579,0.146,0.989,0.29
0.285,0.428,0.806,0.959,0.987,0.923,0.887
0.465,0.904,0.881,0.764,0.402,0.921,0.04
0.472,0.86,0.749,0.696,0.784,0.265,0.622
0.264,0.589,0.297,0.348,0.284,0.868,0.02
0.823,0.414,0.808,0.295,0.333,0.15,0.846
0.757,0.72,0.237,0.02,0.488,0.405,0.533
0.659,0.875,0.43,0.132,0.1,0.923,0.384
0.634,0.139,0.571,0.813,0.089,0.888,0.872
0.638,0.897,0.174,0.692,0.395,0.301,0.626
0.362,0.725,0.581,0.283,0.67,0.685,0.752
0.969,0.069,0.931,0.497,0.928,0.837,0.693
0.315,0.688,0.227,0.385,0.812,0.729,0.624
0.338,0.483,0.107,0.172,0.379,0.976,0.306
0.467,0.253,0.159,0.562,0.959,0.391,0.332
0.065,0.958,0.046,0.405,0.818,0.36,0.235
0.27,0.194,0.332,0.339,0.242,0.756,0.065
0.759,0.755,0.971,0.099,0.308,0.974,0.708
0.16,0.416,0.225,0.326,0.663,0.512,0.428
0.886,0.036,0.156,0.301,0.889,0.91,0.114
0.448,0.73,0.911,0.973,0.27,0.416,0.696
0.446,0.877,0.822,0.2,0.011,0.327,0.806
0.447,0.705,0.622,0.482,0.893,0.506,0.967
0.124,0.501,0.016,0.185,0.537,0.366,0.228
0.08,0.035,0.991,0.263,0.581,0.041,0.054
0.55,0.511,0.76,0.668,0.352,0.317,0.39
